id,price,bedrooms,bathrooms,square_feet,lot_size,year_built,location,property_type,condition,garage_spaces
1,450000,3,2,2100,6000,1995,Downtown,Single Family,Good,2
2,675000,4,3,3200,8500,2005,Suburbs,Single Family,Excellent,3
3,350000,2,1,1500,4000,1980,Urban,Condo,Fair,1
4,890000,5,4,4500,12000,2015,Suburbs,Single Family,Excellent,3
5,425000,3,2,2000,5500,1998,Urban,Townhouse,Good,2
6,550000,4,2,2800,7000,2000,Downtown,Condo,Good,2
7,980000,6,4,5000,15000,2018,Suburbs,Single Family,Excellent,4
8,299000,1,1,800,0,2010,Downtown,Studio,Good,0
9,725000,4,3,3500,9000,2008,Urban,Single Family,Excellent,2
10,399000,2,2,1800,4500,1992,Suburbs,Townhouse,Fair,1
11,850000,5,3,4200,11000,2012,Urban,Single Family,Good,3
12,475000,3,2,2200,6500,1997,Downtown,Townhouse,Good,1
13,600000,4,3,3000,8000,2003,Suburbs,Single Family,Good,2
14,950000,5,4,4800,13000,2016,Urban,Single Family,Excellent,3
15,325000,2,1,1200,3000,1985,Downtown,Condo,Fair,1
16,799000,4,3,3800,10000,2010,Suburbs,Single Family,Excellent,3
17,525000,3,2,2400,7000,2001,Urban,Townhouse,Good,2
18,375000,2,2,1600,4000,1990,Downtown,Condo,Fair,1
19,925000,5,4,4600,12500,2017,Suburbs,Single Family,Excellent,3
20,499000,3,2,2300,6800,1999,Urban,Single Family,Good,2 
